trajectory,sample,progress_percent,A1_deg,A2_deg,A3_deg,A4_deg,A5_deg,A6_deg,delta_A1_deg,delta_A2_deg,delta_A3_deg,delta_A4_deg,delta_A5_deg,delta_A6_deg,delta_norm_deg
BASELINE sin afinar,41,9.44700460829493,-0.3623654435222148,-89.32387020342188,90.16982486684824,175.40145125182696,-86.30597730992174,-175.75365368505408,0.157826934406659,0.29621392953932,0.07496695409399479,2.0053513712464337,1.6343018530496067,1.8466724441707072,3.197006077971108
BASELINE sin afinar,42,9.67741935483871,-0.5652857230742891,-88.94302384398834,90.26621091995837,172.823143167828,-84.20473274010193,-173.37936129940397,0.20292027955207437,0.3808463594335336,0.09638605311012327,2.5783080839989623,2.101244569819812,2.374292385650108,4.110435075676192
BASELINE sin afinar,43,9.90783410138249,-0.8132993802691328,-88.47754499366863,90.38401608752064,169.6718779581646,-81.636545117001,-170.47744859203533,0.2480136571948437,0.4654788503197125,0.11780516756226689,3.151265209663393,2.5681876231009255,2.9019127073686377,5.023864731660848
BASELINE sin afinar,44,10.138248847926267,-1.1064063997325193,-87.9274336813175,90.52324036223236,165.94765581818203,-78.60141459981948,-167.04791574283615,0.29310701946338646,0.5501113123511345,0.13922427471172227,3.7242221399825723,3.0351305171815284,3.429532849199177,5.937294076218864
BASELINE sin afinar,45,10.368663594470046,-1.4446068331605355,-87.29268980991034,90.68388376864898,161.65047609102893,-75.09934065324305,-163.0907621469303,0.3382004334280162,0.6347438714071529,0.1606434064166251,4.297179727153093,3.502073946576431,3.957153595905851,6.850724467953775
BASELINE sin afinar,46,10.599078341013826,-1.8279006232740673,-86.57331348695016,90.86594627956315,156.78033950449466,-71.13032387039839,-158.60598847451874,0.3832937901135318,0.719376322960187,0.18206251091416448,4.870136586534272,3.969016782844662,4.484773672411563,7.764153699419781
BASELINE sin afinar,47,10.829493087557603,-2.2562877683242517,-85.76930471571926,91.0694278941442,151.33724608080027,-66.69436426939504,-153.59359474606424,0.4283871450501844,0.8040087712308974,0.20348161458105096,5.443093423694393,4.435959601003347,5.012393728454498,8.67758289546011
BASELINE sin afinar,48,11.059907834101383,-2.729768271871134,-84.88066348953605,91.29432861408313,145.3211957747117,-61.791461813368606,-148.05358091991212,0.4734805035468823,0.8886412261832106,0.22490071993892968,6.016050306088573,4.902902456026432,5.540013826152119,9.591012163614199
BASELINE sin afinar,49,11.290322580645162,-3.248342137198052,-83.90738980223828,91.54064844093949,138.73218854451088,-56.42161646832005,-141.98594695764524,0.5185738653269181,0.9732736872977625,0.24631982685636444,6.589007230200821,5.369845345048553,6.067633962266882,10.50444149827689
BASELINE sin afinar,50,11.52073732718894,-3.8120093614112585,-82.84948365925703,91.8083873733388,131.57022442696584,-50.584828264214224,-135.39069289312226,0.5636672242132064,1.0579061429812526,0.2677389323993111,7.16196411754504,5.836788204105829,6.595254064522976,11.417870774322616
BASELINE sin afinar,51,11.751152073732719,-4.420769952709408,-81.70694504520483,92.09754541517535,123.83530331790429,-44.28109711615384,-128.26781863041387,0.6087605912981497,1.1425386140521994,0.2891580418365436,7.7349211090615455,6.303731148060386,7.122874262708393,12.33130021644364
BASELINE sin afinar,52,11.981566820276498,-5.074623918356295,-80.47977394644877,92.40812256989942,115.52742512503235,-37.51042294892213,-120.61732408452917,0.6538539656468867,1.2271710987560596,0.3105771547240721,8.30787819287194,6.770674167231711,7.650494545884698,13.244729805703031
BASELINE sin afinar,53,12.211981566820276,-5.773571241453979,-79.16797039470339,92.74011882948454,106.64659006305553,-30.27280593749767,-112.43920945318449,0.6989473230976841,1.3118035517453848,0.33199625958512513,8.880835061976825,7.237617011424458,8.178114631344684,14.158159052670914
BASELINE sin afinar,54,12.442396313364055,-6.517611943718967,-77.77153434921054,93.09353420424598,97.1927978560436,-22.56824585700551,-103.73347448228336,0.7440407022649875,1.3964360454928482,0.3534153747614397,9.45379220701193,7.704560080492158,8.705734970901133,15.071588739537058
BASELINE sin afinar,55,12.672811059907835,-7.303408520500945,-76.29672973045406,93.46678339723269,87.20845488762302,-14.431302651570984,-94.53917003404511,0.7857965767819781,1.4748046187564796,0.3732491929867052,9.984342968420577,8.136943205434527,9.194304448238242,15.917412585281033
BASELINE sin afinar,56,12.903225806451612,-8.068006993818933,-74.86171029506599,93.82996360386268,77.49345533646608,-6.513866337672921,-85.5928964664851,0.7645984733179887,1.435019435388071,0.3631802066299912,9.714999551156936,7.9174363138980635,8.946273567560013,15.488015246540265
BASELINE sin afinar,57,13.133640552995391,-8.787512036805213,-73.51132344945215,94.17172467101351,68.35141358043997,0.9366263773487503,-77.17424383713666,0.7195050429862793,1.3503868456138406,0.3417610671508271,9.142041756026117,7.450492715021671,8.418652629348443,14.574584523267248
BASELINE sin afinar,58,13.36405529953917,-9.46192364945986,-72.24556919361243,94.49206659868527,59.782329619543766,7.920175493494777,-69.28321214599892,0.674411612654648,1.265754255839724,0.3203419276717625,8.5690839608962,6.983549116146027,7.891031691137741,13.661153799995699
BASELINE sin afinar,59,13.59447004608295,-10.091241831782787,-71.0644475275469,94.7909893868779,51.78620345377851,14.436781010764316,-61.919801393072866,0.6293181823229261,1.181121666065522,0.29892278819262685,7.996126165765254,6.5166055172695385,7.36341075292605,12.747723076722487
