condition,sample,progress_percent,A1_deg,A2_deg,A3_deg,A4_deg,A5_deg,A6_deg,delta_A1_deg,delta_A2_deg,delta_A3_deg,delta_A4_deg,delta_A5_deg,delta_A6_deg,delta_norm_deg
KRL,59,12.215320910973086,-0.011708,-90.076012,89.921097,-0.00179,45.47961,-0.039557,0.0004060000000000001,0.002632000000005519,0.0028149999999982356,0.00011200000000000012,1.6183010000000024,0.0014060000000000045,1.6183062542256974
KRL,60,12.422360248447205,-0.012428,-90.080681,89.916351,-0.0016,48.210495,-0.041929,0.0007200000000000002,0.004668999999992707,0.004745999999997252,0.00018999999999999985,2.7308850000000007,0.002371999999999999,2.73089424697955
KRL,61,12.629399585921325,-0.012833,-90.083313,89.91362,-0.001492,49.778225,-0.043291,0.00040500000000000085,0.002632000000005519,0.0027310000000113632,0.00010800000000000002,1.5677299999999974,0.001362000000000002,1.5677352357518766
KRL,62,12.836438923395445,-0.013252,-90.086029,89.910812,-0.00138,51.396526,-0.044697,0.00041899999999999923,0.002715999999992391,0.002807999999987487,0.00011200000000000012,1.6183010000000024,0.0014059999999999975,1.6183063841751375
KRL,63,13.043478260869565,-0.013645,-90.088577,89.908173,-0.001275,52.913685,-0.046015,0.00039299999999999925,0.0025480000000044356,0.0026390000000020564,0.00010499999999999984,1.5171589999999995,0.0013179999999999997,1.5171640618285152
KRL,64,13.250517598343686,-0.014378,-90.09333,89.903252,-0.001078,55.745712,-0.048476,0.000733000000000001,0.00475299999999379,0.004921000000010167,0.00019700000000000013,2.8320269999999965,0.002460999999999998,2.832036434899449
KRL,65,13.457556935817806,-0.014797,-90.096046,89.900436,-0.000966,57.364014,-0.049881,0.00041899999999999923,0.002716000000006602,0.002815999999995711,0.00011200000000000001,1.618302,0.0014050000000000035,1.6183073972042519
KRL,66,13.664596273291925,-0.015216,-90.098763,89.897621,-0.000854,58.982315,-0.051287,0.00041900000000000097,0.0027170000000040773,0.0028149999999982356,0.0001119999999999999,1.6183010000000024,0.0014059999999999975,1.6183063980149148
KRL,67,13.871635610766045,-0.015622,-90.101395,89.894897,-0.000745,60.550045,-0.052649,0.0004060000000000001,0.002631999999991308,0.002724000000000615,0.00010900000000000005,1.5677299999999974,0.001362000000000002,1.5677352239013422
KRL,68,14.078674948240165,-0.016342,-90.106064,89.89006,-0.000553,63.331501,-0.055066,0.0007199999999999984,0.004669000000006918,0.004836999999994873,0.000192,2.7814560000000057,0.0024169999999999955,2.7814652744945483
KRL,69,14.285714285714286,-0.016747,-90.108696,89.887337,-0.000444,64.899231,-0.056428,0.0004050000000000026,0.002631999999991308,0.0027230000000031396,0.00010899999999999999,1.5677299999999974,0.001362000000000002,1.5677352219054697
KRL,70,14.492753623188406,-0.017153,-90.111328,89.884521,-0.000332,66.517532,-0.057834,0.0004060000000000001,0.002632000000005519,0.002815999999995711,0.00011200000000000001,1.6183010000000024,0.0014060000000000045,1.6183062559654795
KRL,71,14.699792960662526,-0.017572,-90.114044,89.881798,-0.000223,68.085266,-0.059196,0.00041899999999999923,0.002716000000006602,0.0027230000000031396,0.00010899999999999999,1.5677340000000015,0.0013619999999999952,1.567739368845155
KRL,72,14.906832298136646,-0.018292,-90.118713,89.876869,-2.7e-05,70.91729,-0.061656,0.0007199999999999984,0.004668999999992707,0.00492900000000418,0.000196,2.83202399999999,0.002460000000000004,2.8320333048172195
KRL,73,15.113871635610765,-0.018711,-90.121429,89.874146,8.2e-05,72.485023,-0.063018,0.00041899999999999923,0.002716000000006602,0.0027230000000031396,0.00010899999999999999,1.567733000000004,0.001362000000000002,1.5677383688485822
KRL,74,15.320910973084887,-0.019117,-90.124062,89.871422,0.000191,74.05275,-0.06438,0.0004060000000000001,0.002632999999988783,0.002724000000000615,0.000109,1.567727000000005,0.001362000000000002,1.5677322255905233
