condition,sample,progress_percent,A1_deg,A2_deg,A3_deg,A4_deg,A5_deg,A6_deg,delta_A1_deg,delta_A2_deg,delta_A3_deg,delta_A4_deg,delta_A5_deg,delta_A6_deg,delta_norm_deg
KRL,142,17.68368617683686,-0.000169,-90.000031,90.000145,-0.005043,19.991354,0.00267,1.1999999999999994e-05,0.0,8.000000008223651e-06,7.999999999999327e-06,1.4160140000000006,0.00018800000000000023,1.4160140125761476
KRL,143,17.80821917808219,-0.000188,-90.000031,90.00016,-0.005054,22.21652,0.002966,1.9e-05,0.0,1.499999999055035e-05,1.1000000000000593e-05,2.225165999999998,0.0002959999999999998,2.2251660198463825
KRL,144,17.932752179327522,-0.0002,-90.000038,90.000175,-0.005062,23.632534,0.003155,1.200000000000002e-05,6.999999996537554e-06,1.5000000004761205e-05,7.999999999999327e-06,1.4160140000000006,0.00018899999999999993,1.4160140127834193
KRL,145,18.05728518057285,-0.000212,-90.000038,90.000183,-0.005069,25.048548,0.003343,1.1999999999999994e-05,0.0,8.000000008223651e-06,7.000000000000062e-06,1.4160140000000006,0.00018800000000000023,1.416014012570851
KRL,146,18.181818181818183,-0.000224,-90.000038,90.000191,-0.005077,26.464561,0.003532,1.1999999999999994e-05,0.0,7.999999994012796e-06,8.000000000000194e-06,1.4160129999999995,0.00018899999999999993,1.4160130127092754
KRL,147,18.306351183063512,-0.000244,-90.000046,90.000214,-0.005089,28.740299,0.003835,1.9999999999999998e-05,7.999999994012796e-06,2.2999999998774e-05,1.1999999999999858e-05,2.2757380000000005,0.0003029999999999999,2.2757380204210684
KRL,148,18.43088418430884,-0.000256,-90.000046,90.000221,-0.005097,30.257458,0.004037,1.1999999999999994e-05,0.0,6.999999996537554e-06,8.000000000000194e-06,1.5171589999999995,0.00020199999999999992,1.5171590135322002
KRL,149,18.555417185554173,-0.000269,-90.000046,90.000229,-0.005104,31.673471,0.004225,1.299999999999999e-05,0.0,8.000000008223651e-06,7.000000000000062e-06,1.4160129999999995,0.0001879999999999998,1.4160130125796864
KRL,150,18.679950186799502,-0.000281,-90.000053,90.000244,-0.005112,33.140057,0.004421,1.200000000000002e-05,6.999999996537554e-06,1.499999999055035e-05,8.000000000000194e-06,1.4665859999999995,0.000196,1.4665860132614108
KRL,151,18.80448318804483,-0.000301,-90.000053,90.000259,-0.005124,35.415794,0.00473,1.9999999999999998e-05,0.0,1.5000000004761205e-05,1.1999999999999858e-05,2.2757369999999995,0.00030900000000000025,2.2757370211469947
KRL,152,18.929016189290163,-0.000313,-90.000053,90.000267,-0.005131,36.882381,0.004919,1.200000000000002e-05,0.0,7.999999994012796e-06,7.000000000000062e-06,1.466587000000004,0.00018899999999999993,1.4665870122658975
KRL,153,19.05354919053549,-0.000326,-90.000061,90.000282,-0.005139,38.348965,0.005114,1.299999999999999e-05,8.000000008223651e-06,1.5000000004761205e-05,8.000000000000194e-06,1.4665839999999974,0.00019499999999999986,1.466584013141761
KRL,154,19.17808219178082,-0.000338,-90.000061,90.00029,-0.005146,39.76498,0.005303,1.1999999999999966e-05,0.0,8.000000008223651e-06,7.000000000000062e-06,1.4160150000000016,0.0001890000000000008,1.416015012703963
KRL,155,19.302615193026153,-0.000357,-90.000061,90.000305,-0.005159,42.09129,0.005612,1.9000000000000028e-05,0.0,1.499999999055035e-05,1.299999999999999e-05,2.3263099999999994,0.0003089999999999994,2.3263100206842586
KRL,156,19.42714819427148,-0.00037,-90.000069,90.00032,-0.005166,43.507305,0.005801,1.299999999999999e-05,7.999999994012796e-06,1.5000000004761205e-05,6.999999999999194e-06,1.4160150000000016,0.00018899999999999993,1.4160150127922388
KRL,157,19.551681195516814,-0.000382,-90.000069,90.000328,-0.005174,44.973888,0.005996,1.200000000000002e-05,0.0,7.999999994012796e-06,8.000000000000194e-06,1.466583,0.00019499999999999986,1.4665830130565403
KRL,158,19.676214196762142,-0.000394,-90.000069,90.000336,-0.005181,46.389904,0.006185,1.1999999999999966e-05,0.0,8.000000008223651e-06,7.000000000000062e-06,1.416015999999999,0.0001890000000000008,1.4160160127039516
KRL,159,19.80074719800747,-0.000414,-90.000076,90.000359,-0.005193,48.716213,0.006494,1.9999999999999998e-05,7.000000010748408e-06,2.2999999998774e-05,1.1999999999999858e-05,2.326309000000002,0.0003089999999999994,2.326309020763151
KRL,160,19.925280199252803,-0.000426,-90.000076,90.000366,-0.005201,50.132225,0.006683,1.200000000000002e-05,0.0,6.999999996537554e-06,8.000000000000194e-06,1.416011999999995,0.00018899999999999993,1.4160120127039832
KRL,161,20.049813200498132,-0.000438,-90.000076,90.000374,-0.005208,51.548241,0.006871,1.200000000000002e-05,0.0,7.999999994012796e-06,7.000000000000062e-06,1.416015999999999,0.00018800000000000067,1.4160160125708317
KRL,162,20.17434620174346,-0.00045,-90.000084,90.000389,-0.005216,52.964256,0.00706,1.1999999999999966e-05,7.999999994012796e-06,1.5000000004761205e-05,8.000000000000194e-06,1.4160150000000016,0.00018899999999999993,1.416015012788708
KRL,163,20.298879202988793,-0.00047,-90.000084,90.000404,-0.005227,55.23999,0.007363,1.9999999999999998e-05,0.0,1.5000000004761205e-05,1.0999999999999725e-05,2.275734,0.00030299999999999945,2.275734020335197
KRL,164,20.423412204234122,-0.000482,-90.000084,90.000412,-0.005235,56.706577,0.007558,1.200000000000002e-05,0.0,7.999999994012796e-06,8.000000000000194e-06,1.466587000000004,0.00019499999999999986,1.4665870130565086
KRL,165,20.54794520547945,-0.000495,-90.000092,90.000427,-0.005243,58.223736,0.00776,1.299999999999999e-05,7.999999994012796e-06,1.5000000004761205e-05,8.000000000000194e-06,1.5171589999999995,0.0002020000000000008,1.5171590136195345
